title|sub_title|level|ranked|genre1|genre2|individual|first_play|full_combo|do_jo||||||
食らいむ！まうんとぱふぇ|마운트 파르페|8|6|8|0|0|0|0|0||||||
HARDCOREノ心得|HARDCORE의 마음가짐|8|6|8|0|0|0|0|0||||||
TD - 28619029byte remix -|택동 - 28619029byte remix -|8|6|5|0|1|1|1|0||||||
ネクロファンタジア|네크로판타지아|8|6|6|0|0|0|0|0||||||
IN THE ZONE||8|6|5|0|0|0|0|0||||||
千鼓千鼓|치코치코|8|6|7|8|0|0|0|0||||||
鼓舞曲「閻魔」|고무곡「엄마」|8|6|8|0|0|0|0|0||||||
GERBERA||8|6|5|0|0|0|0|0||||||
天照|아마테라스|8|6|8|0|0|0|0|0||||||
Xevel||8|6|5|0|0|0|0|0||||||
Scarlet Lance||8|6|5|0|0|0|0|0||||||
旋風ノ舞【天】|선풍의춤[천]|8|6|8|0|0|0|0|0||||||
R.I.||8|6|8|0|0|0|0|0||||||
X-DAY2000||8|6|8|0|0|0|0|0||||||
夜桜謝肉祭|야앵사육제|8|6|8|0|0|0|0|0||||||
おにぎりはどこかしら♪|주먹밥은 어디에 있을까♪|8|6|4|8|0|0|0|0||||||
Abyss of hell||8|6|5|0|0|0|0|0||||||
SstTAarR*||8|6|4|8|1|0|0|0||||||
彁|가|8|6|8|0|0|0|0|0||||||
Where is the Target?||8|6|5|0|0|0|0|0||||||
朱の旋律|주의 선율|8|6|8|0|0|0|0|0||||||
オール・イン・マイハート|올·인·마이하트|8|6|8|0|0|0|0|0||||||
Coquette||8|6|8|0|0|0|0|0||||||
はたラク2000|하타라쿠 2000|8|6|8|0|0|0|0|0||||||
オパ！オパ！RACER||8|7|5|0|0|0|0|0||||||
Evidence of evil||8|7|8|0|0|0|0|0||||||
YOAKE||8|7|8|0|0|0|0|0||||||
GO GET'EM!||8|7|8|0|0|0|0|0||||||
天下統一録|천하통일록|8|7|8|0|0|0|0|0||||||
wonderful ROUTINE||8|7|8|0|1|1|1|0||||||
化物月夜|도깨비 달밤|8|7|8|0|0|0|0|0||||||
UNDEAD HEART||8|7|8|0|0|0|0|0||||||
Eternal bond||8|7|4|8|0|0|0|0||||||
Pastel Sealane||8|7|5|0|0|0|0|0||||||
Sunset Runaway||8|7|5|0|0|0|0|0||||||
Behemoth||8|7|8|0|0|0|0|0||||||
ドラゴンスピリットメドレー|드래곤 스피릿 메들리|8|7|5|0|1|0|1|0||||||
VICTORIA||8|7|8|0|0|0|0|0||||||
Doom Noiz||8|7|5|0|0|0|0|0||||||
Night And Day||8|7|5|0|0|0|0|0||||||
マジカル・パフェ|매지컬 파르페|8|7|8|0|1|0|0|0||||||
INSPION||8|7|6|0|0|0|0|0||||||
クープランの墓|쿠프랭의 무덤|8|7|7|8|1|0|0|0||||||
夜櫻ブレヰダアズ|야앵 브레이다아즈|8|7|8|0|0|0|0|0||||||
氷竜 ～Kooryu～|빙룡|8|7|8|0|0|0|1|0||||||
ひよこ鑑定士さん|병아리 감정사님|8|7|8|0|0|0|0|0||||||
